;CPC Symbol;Classification Title
0;A;HUMAN NECESSITIES
1;A01;AGRICULTURE FORESTRY ANIMAL HUSBANDRY HUNTING TRAPPING FISHING
2;A21;BAKING EDIBLE DOUGHS
3;A22;BUTCHERING MEAT TREATMENT PROCESSING POULTRY OR FISH
4;A23;FOODS OR FOODSTUFFS TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES
5;A24;TOBACCO CIGARS CIGARETTES SIMULATED SMOKING DEVICES SMOKERS' REQUISITES
6;A41;WEARING APPAREL
7;A42;HEADWEAR
8;A43;FOOTWEAR
9;A44;HABERDASHERY JEWELLERY
10;A45;HAND OR TRAVELLING ARTICLES
11;A46;BRUSHWARE
12;A47;FURNITURE DOMESTIC ARTICLES OR APPLIANCES COFFEE MILLS SPICE MILLS SUCTION CLEANERS IN GENERAL
13;A61;MEDICAL OR VETERINARY SCIENCE HYGIENE
14;A62;LIFE-SAVING FIRE-FIGHTING
15;A63;SPORTS GAMES AMUSEMENTS
16;A99;SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
17;B;PERFORMING OPERATIONS TRANSPORTING
18;B01;PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
19;B02;CRUSHING, PULVERISING, OR DISINTEGRATING PREPARATORY TREATMENT OF GRAIN FOR MILLING
20;B03;SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS
21;B04;CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES
22;B05;SPRAYING OR ATOMISING IN GENERAL APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL
23;B06;GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL
24;B07;SEPARATING SOLIDS FROM SOLIDS SORTING
25;B08;CLEANING
26;B09;DISPOSAL OF SOLID WASTE RECLAMATION OF CONTAMINATED SOIL
27;B21;MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL PUNCHING METAL
28;B22;CASTING POWDER METALLURGY
29;B23;MACHINE TOOLS METAL-WORKING NOT OTHERWISE PROVIDED FOR
30;B24;GRINDING POLISHING
31;B25;HAND TOOLS PORTABLE POWER-DRIVEN TOOLS MANIPULATORS
32;B26;HAND CUTTING TOOLS CUTTING SEVERING
33;B27;WORKING OR PRESERVING WOOD OR SIMILAR MATERIAL NAILING OR STAPLING MACHINES IN GENERAL
